Job ID : 14826
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : mer. 18 mars 2026 00:15:02 CET
============================================================
QLORA CROSS-ATTENTION ONLY - RANK 16
============================================================

[1/5] Loading quantized model...

[2/5] Configuring QLoRA (rank=16)...
trainable params: 983,040 || all params: 3,876,527,616 || trainable%: 0.0254

[3/5] Loading dataset...
Loaded 400 samples from data/train.json
Loaded 50 samples from data/val.json
  Train: 400 | Val: 50

[4/5] Setting up 8-bit optimizer...

[5/5] Training...
  Epoch 12 - Batch 190 - GPU: 9.61GB
  Epoch 12 - Batch 200 - GPU: 9.61GB
  Epoch 12 - Batch 210 - GPU: 9.61GB
  Epoch 12 - Batch 220 - GPU: 9.61GB
  Epoch 12 - Batch 230 - GPU: 9.61GB
  Epoch 12 - Batch 240 - GPU: 9.61GB
  Epoch 12 - Batch 250 - GPU: 9.61GB
  Epoch 12 - Batch 260 - GPU: 9.61GB
  Epoch 12 - Batch 270 - GPU: 9.61GB
  Epoch 12 - Batch 280 - GPU: 9.61GB
  Epoch 12 - Batch 290 - GPU: 9.61GB
  Epoch 12 - Batch 300 - GPU: 9.61GB
  Epoch 12 - Batch 310 - GPU: 9.61GB
  Epoch 12 - Batch 320 - GPU: 9.61GB
  Epoch 12 - Batch 330 - GPU: 9.61GB
